Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/8/2012 3:00,2.1,-1.5,77,6,25,101.18,Cloudy
12/8/2012 4:00,2.5,-1.2,77,0,25,101.13,Cloudy
12/8/2012 5:00,2.7,-1,77,9,25,101.07,Cloudy
12/8/2012 6:00,2.4,0.3,86,9,25,101.05,Cloudy
12/8/2012 7:00,2.3,1,91,6,8,101.09,Fog
"12/8/2012 8:00,2.7,1.6,92,7,6.4,101.06,""Rain,Fog"""
"12/8/2012 9:00,2.7,1.8,94,11,4.8,100.98,""Rain,Fog"""
"12/8/2012 10:00,3.2,2.1,92,11,8,100.95,""Rain,Fog"""
"12/8/2012 11:00,2.2,1.5,95,17,8,100.83,""Rain,Fog"""
"12/8/2012 12:00,2.1,1.6,96,15,4.8,100.74,""Rain,Fog"""
"12/8/2012 13:00,1.9,1.3,96,17,3.6,100.59,""Rain,Fog"""
"12/8/2012 14:00,2.1,1.2,94,15,6.4,100.52,""Rain,Fog"""
"12/8/2012 15:00,2,1,93,17,4.8,100.48,""Rain,Fog"""
"12/8/2012 16:00,1.8,0.8,93,17,4.8,100.49,""Rain,Fog"""
"12/8/2012 17:00,1.6,0.6,93,9,8,100.46,""Rain,Fog"""
"12/8/2012 18:00,1.1,0.5,96,9,6.4,100.54,""Rain,Fog"""
"12/8/2012 19:00,0.9,0.2,95,9,6.4,100.61,""Rain,Fog"""
"12/8/2012 20:00,0.8,0.3,96,9,6.4,100.67,""Rain,Fog"""
"12/8/2012 21:00,0.8,0.3,96,9,6.4,100.73,""Rain,Snow,Fog"""
12/8/2012 22:00,1.2,0.6,96,13,6.4,100.84,Fog
"12/8/2012 23:00,1.3,0.6,95,17,8,100.96,""Drizzle,Fog"""
12/9/2012 0:00,1.5,0.7,94,20,9.7,101.07,Fog
12/9/2012 1:00,1.9,0.7,92,17,16.1,101.22,Cloudy
12/9/2012 2:00,1.8,0.1,88,17,19.3,101.37,Cloudy
12/9/2012 3:00,1.5,-0.5,87,17,25,101.47,Mainly Clear
12/9/2012 4:00,1.5,-0.3,88,13,25,101.59,Mostly Cloudy
12/9/2012 5:00,1.1,-0.9,86,15,25,101.72,Cloudy
12/9/2012 6:00,0.8,-1.5,85,11,25,101.84,Cloudy
12/9/2012 7:00,0.2,-2.3,83,20,24.1,102.02,Cloudy
12/9/2012 8:00,-0.5,-2.9,84,11,24.1,102.16,Cloudy
12/9/2012 9:00,-0.9,-3.9,80,20,24.1,102.24,Cloudy
12/9/2012 10:00,-1.5,-4.5,80,20,24.1,102.35,Cloudy
12/9/2012 11:00,-1.7,-4.8,79,17,24.1,102.35,Cloudy
12/9/2012 12:00,-1.9,-5.1,79,17,12.9,102.32,Snow Showers
12/9/2012 13:00,-2.3,-5.4,79,9,24.1,102.28,Cloudy
12/9/2012 14:00,-1.9,-5.1,79,7,24.1,102.28,Cloudy
12/9/2012 15:00,-1.9,-4.9,80,6,24.1,102.33,Cloudy
12/9/2012 16:00,-1.6,-5.2,76,4,24.1,102.31,Cloudy
12/9/2012 17:00,-1.2,-5.7,71,15,25,102.31,Cloudy
12/9/2012 18:00,-1.4,-5.9,71,19,25,102.25,Cloudy
12/9/2012 19:00,-1.7,-6.2,71,22,24.1,102.22,Cloudy
12/9/2012 20:00,-2.2,-7.2,69,28,25,102.11,Cloudy
12/9/2012 21:00,-2.4,-6.5,73,20,25,101.91,Cloudy
12/9/2012 22:00,-3,-8.2,67,28,25,101.78,Cloudy
12/9/2012 23:00,-3.6,-8.6,68,32,25,101.64,Cloudy
12/10/2012 0:00,-3.9,-8.1,73,20,25,101.54,Cloudy
12/10/2012 1:00,-5,-6.2,91,32,1.6,101.31,Snow
12/10/2012 2:00,-4.7,-6.2,89,33,4,101.1,Snow
"12/10/2012 3:00,-4.3,-5.9,89,33,2.8,100.96,""Snow,Ice Pellets"""
"12/10/2012 4:00,-3.3,-4.4,92,28,3.6,100.73,""Freezing Drizzle,Fog"""
"12/10/2012 5:00,-1.9,-2.8,94,33,4,100.55,""Freezing Drizzle,Fog"""
"12/10/2012 6:00,0.1,-0.9,93,22,8,100.3,""Freezing Rain,Fog"""
"12/10/2012 7:00,1,0,93,19,8,100.09,""Rain,Fog"""
"12/10/2012 8:00,1.7,0.8,94,17,6.4,99.98,""Moderate Rain,Fog"""
"12/10/2012 9:00,2.2,1.5,95,19,6.4,99.78,""Rain,Fog"""
"12/10/2012 10:00,2.2,1.6,96,17,2.4,99.7,""Rain,Fog"""
"12/10/2012 11:00,1.9,1.5,97,15,3.2,99.6,""Rain,Fog"""
"12/10/2012 12:00,1.4,0.8,96,15,4.8,99.44,""Drizzle,Fog"""
"12/10/2012 13:00,0.6,0.3,98,19,2.4,99.34,""Rain,Fog"""
"12/10/2012 14:00,0.1,-0.2,98,15,2.4,99.32,""Rain,Fog"""
"12/10/2012 15:00,0,-0.5,96,9,4,99.34,""Drizzle,Fog"""
"12/10/2012 16:00,0,-0.5,96,6,4,99.41,""Rain,Fog"""
"12/10/2012 17:00,0.1,-0.3,97,4,4.8,99.42,""Rain,Fog"""
12/10/2012 18:00,1.5,1.1,97,15,12.9,99.57,Cloudy
12/10/2012 19:00,2.6,0.9,89,22,25,99.54,Cloudy
12/10/2012 20:00,2.5,-0.5,81,24,25,99.58,Cloudy
12/10/2012 21:00,2.2,-1.3,78,24,25,99.63,Cloudy
12/10/2012 22:00,1.7,-1.3,80,20,25,99.73,Cloudy
12/10/2012 23:00,1.2,-2.1,79,20,25,99.78,Mostly Cloudy
12/11/2012 0:00,0.7,-2.7,78,17,25,99.89,Cloudy
12/11/2012 1:00,0,-3.6,77,28,25,99.99,Cloudy
12/11/2012 2:00,-1.1,-5.2,74,22,25,100.09,Mostly Cloudy
12/11/2012 3:00,-2.5,-6,77,24,25,100.27,Mostly Cloudy
12/11/2012 4:00,-4.5,-8,76,20,25,100.38,Mainly Clear
12/11/2012 5:00,-5.9,-9.6,75,17,25,100.51,Mainly Clear
12/11/2012 6:00,-7.3,-10.3,79,15,25,100.62,Mainly Clear
12/11/2012 7:00,-8,-11.5,76,15,24.1,100.78,Mainly Clear
12/11/2012 8:00,-8.4,-12,75,17,24.1,100.91,Mainly Clear
12/11/2012 9:00,-7.9,-12,72,19,24.1,101.03,Mainly Clear
12/11/2012 10:00,-7.1,-12,68,9,24.1,101.12,Mainly Clear
12/11/2012 11:00,-6.6,-12.2,64,7,24.1,101.1,Mainly Clear
12/11/2012 12:00,-6.1,-12.4,61,11,24.1,101.13,Mainly Clear
